src,dst,edge_type
RDBECOLIPMC03256,RDBECOLIGNC02080,DRIVES
RDBECOLIPMC00053,RDBECOLIGNC01493,DRIVES
RDBECOLIPMC00053,RDBECOLIGNC02357,DRIVES
RDBECOLIPMC03042,RDBECOLIGNC03427,DRIVES
RDBECOLIPMC01006,RDBECOLIGNC03441,DRIVES
RDBECOLIPMC02543,RDBECOLIGNC03448,DRIVES
RDBECOLIPMC02544,RDBECOLIGNC03450,DRIVES
RDBECOLIPMC02544,RDBECOLIGNC03449,DRIVES
RDBECOLIPMC03162,RDBECOLIGNC03453,DRIVES
RDBECOLIPMC03162,RDBECOLIGNC01749,DRIVES
RDBECOLIPMC00055,RDBECOLIGNC03455,DRIVES
RDBECOLIPMC00055,RDBECOLIGNC03454,DRIVES
RDBECOLIPMC00238,RDBECOLIGNC03457,DRIVES
RDBECOLIPMC00526,RDBECOLIGNC02348,DRIVES
RDBECOLIPMC03041,RDBECOLIGNC03470,DRIVES
RDBECOLIPMC00059,RDBECOLIGNC03498,DRIVES
RDBECOLIPMC00060,RDBECOLIGNC03500,DRIVES
RDBECOLIPMC00061,RDBECOLIGNC03512,DRIVES
RDBECOLIPMC02746,RDBECOLIGNC01748,DRIVES
RDBECOLIPMC00065,RDBECOLIGNC01554,DRIVES
RDBECOLIPMC00502,RDBECOLIGNC01106,DRIVES
RDBECOLIPMC00502,RDBECOLIGNC01105,DRIVES
RDBECOLIPMC03014,RDBECOLIGNC01108,DRIVES
RDBECOLIPMC03014,RDBECOLIGNC01109,DRIVES
RDBECOLIPMC03014,RDBECOLIGNC01110,DRIVES
RDBECOLIPMC00066,RDBECOLIGNC03532,DRIVES
RDBECOLIPMC00066,RDBECOLIGNC03531,DRIVES
RDBECOLIPMC00066,RDBECOLIGNC03530,DRIVES
RDBECOLIPMC02513,RDBECOLIGNC02615,DRIVES
RDBECOLIPMC02513,RDBECOLIGNC02614,DRIVES
RDBECOLIPMC02491,RDBECOLIGNC00696,DRIVES
RDBECOLIPMC03163,RDBECOLIGNC02351,DRIVES
RDBECOLIPMC03163,RDBECOLIGNC03533,DRIVES
RDBECOLIPMC02498,RDBECOLIGNC03536,DRIVES
RDBECOLIPMC00068,RDBECOLIGNC01481,DRIVES
RDBECOLIPMC00273,RDBECOLIGNC02797,DRIVES
RDBECOLIPMC00273,RDBECOLIGNC03539,DRIVES
RDBECOLIPMC00273,RDBECOLIGNC03540,DRIVES
RDBECOLIPMC00069,RDBECOLIGNC03542,DRIVES
RDBECOLIPMC00069,RDBECOLIGNC01751,DRIVES
RDBECOLIPMC00069,RDBECOLIGNC00033,DRIVES
RDBECOLIPMC00069,RDBECOLIGNC02281,DRIVES
RDBECOLIPMC00069,RDBECOLIGNC03541,DRIVES
RDBECOLIPMC02405,RDBECOLIGNC03542,DRIVES
RDBECOLIPMC02405,RDBECOLIGNC01751,DRIVES
RDBECOLIPMC02405,RDBECOLIGNC00033,DRIVES
RDBECOLIPMC01150,RDBECOLIGNC03559,DRIVES
RDBECOLIPMC00072,RDBECOLIGNC01221,DRIVES
RDBECOLIPMC00073,RDBECOLIGNC03570,DRIVES
RDBECOLIPMC00074,RDBECOLIGNC03594,DRIVES
RDBECOLIPMC02548,RDBECOLIGNC03595,DRIVES
RDBECOLIPMC03047,RDBECOLIGNC03597,DRIVES
RDBECOLIPMC03195,RDBECOLIGNC01280,DRIVES
RDBECOLIPMC02476,RDBECOLIGNC03623,DRIVES
RDBECOLIPMC02476,RDBECOLIGNC03622,DRIVES
RDBECOLIPMC02476,RDBECOLIGNC03621,DRIVES
RDBECOLIPMC02476,RDBECOLIGNC03620,DRIVES
RDBECOLIPMC02525,RDBECOLIGNC02975,DRIVES
RDBECOLIPMC02500,RDBECOLIGNC03634,DRIVES
RDBECOLIPMC00297,RDBECOLIGNC03638,DRIVES
RDBECOLIPMC00297,RDBECOLIGNC02589,DRIVES
RDBECOLIPMC00076,RDBECOLIGNC03639,DRIVES
RDBECOLIPMC00078,RDBECOLIGNC03654,DRIVES
RDBECOLIPMC00295,RDBECOLIGNC02365,DRIVES
RDBECOLIPMC03194,RDBECOLIGNC03680,DRIVES
RDBECOLIPMC00233,RDBECOLIGNC03685,DRIVES
RDBECOLIPMC00233,RDBECOLIGNC03686,DRIVES
RDBECOLIPMC03187,RDBECOLIGNC03693,DRIVES
RDBECOLIPMC00344,RDBECOLIGNC02927,DRIVES
RDBECOLIPMC03044,RDBECOLIGNC01585,DRIVES
RDBECOLIPMC00079,RDBECOLIGNC02215,DRIVES
RDBECOLIPMC00080,RDBECOLIGNC03701,DRIVES
RDBECOLIPMC00549,RDBECOLIGNC02802,DRIVES
RDBECOLIPMC00549,RDBECOLIGNC03705,DRIVES
RDBECOLIPMC00081,RDBECOLIGNC03710,DRIVES
RDBECOLIPMC02454,RDBECOLIGNC00222,DRIVES
RDBECOLIPMC02454,RDBECOLIGNC03722,DRIVES
RDBECOLIPMC02454,RDBECOLIGNC03721,DRIVES
RDBECOLIPMC01276,RDBECOLIGNC01274,DRIVES
RDBECOLIPMC01276,RDBECOLIGNC01273,DRIVES
RDBECOLIPMC01276,RDBECOLIGNC01272,DRIVES
RDBECOLIPMC03017,RDBECOLIGNC03724,DRIVES
RDBECOLIPMC03017,RDBECOLIGNC03723,DRIVES
RDBECOLIPMC03017,RDBECOLIGNC01276,DRIVES
RDBECOLIPMC03017,RDBECOLIGNC01275,DRIVES
RDBECOLIPMC03017,RDBECOLIGNC00221,DRIVES
RDBECOLIPMC02744,RDBECOLIGNC03726,DRIVES
RDBECOLIPMC02744,RDBECOLIGNC03725,DRIVES
RDBECOLIPMC00082,RDBECOLIGNC03729,DRIVES
RDBECOLIPMC00082,RDBECOLIGNC03728,DRIVES
RDBECOLIPMC00551,RDBECOLIGNC03741,DRIVES
RDBECOLIPMC02537,RDBECOLIGNC02825,DRIVES
RDBECOLIPMC02537,RDBECOLIGNC03745,DRIVES
RDBECOLIPMC02537,RDBECOLIGNC03744,DRIVES
RDBECOLIPMC00084,RDBECOLIGNC03752,DRIVES
RDBECOLIPMC00085,RDBECOLIGNC00418,DRIVES
